,record_id,month,day,year,plot,species,sex,wgt
318,319,10,17,1977,14,DM,M,45.0
319,320,10,17,1977,17,DM,F,39.0
320,321,10,17,1977,17,OL,F,23.0
322,323,10,17,1977,17,DO,F,31.0
327,328,10,18,1977,16,DM,F,43.0
329,330,10,18,1977,5,DM,M,43.0
331,332,10,18,1977,12,PF,M,8.0
333,334,10,18,1977,5,DM,F,45.0
335,336,10,18,1977,12,DM,M,40.0
336,337,10,18,1977,8,DO,F,41.0
337,338,10,18,1977,12,DM,M,41.0
339,340,10,18,1977,12,DM,F,39.0
341,342,10,18,1977,16,DM,M,25.0
344,345,11,12,1977,22,DM,F,45.0
345,346,11,12,1977,2,DM,F,36.0
346,347,11,12,1977,6,DM,F,40.0
347,348,11,12,1977,13,DM,M,44.0
349,350,11,12,1977,2,DM,M,47.0
351,352,11,12,1977,1,DM,M,40.0
353,354,11,12,1977,2,DM,M,44.0
355,356,11,12,1977,1,DO,F,44.0
356,357,11,12,1977,9,DS,F,117.0
357,358,11,12,1977,13,PF,F,7.0
358,359,11,12,1977,18,DM,M,40.0
359,360,11,12,1977,20,DM,F,39.0
360,361,11,12,1977,2,DM,F,40.0
361,362,11,12,1977,1,DS,F,121.0
363,364,11,12,1977,9,DM,M,46.0
364,365,11,12,1977,1,DM,F,35.0
366,367,11,12,1977,20,DS,M,115.0
367,368,11,12,1977,9,PF,F,7.0
368,369,11,12,1977,20,DM,F,39.0
369,370,11,12,1977,9,DM,M,40.0
370,371,11,12,1977,13,DM,M,40.0
371,372,11,12,1977,22,DM,F,35.0
372,373,11,12,1977,6,DM,M,36.0
373,374,11,12,1977,18,DM,M,44.0
374,375,11,12,1977,9,PF,F,6.0
375,376,11,12,1977,1,PF,F,7.0
376,377,11,12,1977,9,DS,F,120.0
377,378,11,12,1977,1,DO,M,48.0
378,379,11,13,1977,14,DM,M,44.0
379,380,11,13,1977,17,DM,F,38.0
380,381,11,13,1977,17,DS,F,118.0
381,382,11,13,1977,17,DM,M,40.0
382,383,11,13,1977,11,DS,F,126.0
383,384,11,13,1977,11,DM,M,37.0
384,385,11,13,1977,17,DS,M,132.0
387,388,11,13,1977,11,DM,F,39.0
388,389,11,13,1977,14,DS,F,113.0
390,391,11,13,1977,11,PF,M,7.0
391,392,11,13,1977,11,DS,F,122.0
393,394,11,13,1977,4,DS,F,107.0
394,395,11,13,1977,14,DM,M,43.0
395,396,11,13,1977,14,DM,F,40.0
396,397,11,13,1977,17,RM,F,7.0
397,398,11,13,1977,4,DS,F,115.0
398,399,11,13,1977,17,DM,F,39.0
403,404,11,14,1977,12,DM,M,40.0
406,407,11,14,1977,5,DS,F,116.0
407,408,11,14,1977,8,PF,F,6.0
408,409,11,14,1977,12,DM,F,38.0
409,410,11,14,1977,5,DS,M,137.0
410,411,11,14,1977,5,DM,M,42.0
411,412,11,14,1977,5,DS,M,126.0
412,413,11,14,1977,8,DS,F,112.0
413,414,11,14,1977,8,DO,F,39.0
414,415,11,14,1977,5,DM,F,41.0
419,420,12,10,1977,13,DM,F,48.0
420,421,12,10,1977,9,DS,F,121.0
421,422,12,10,1977,2,DM,F,42.0
422,423,12,10,1977,13,DM,M,42.0
423,424,12,10,1977,2,DM,M,52.0
424,425,12,10,1977,20,DM,F,38.0
425,426,12,10,1977,22,DM,M,45.0
426,427,12,10,1977,2,DM,F,37.0
427,428,12,10,1977,9,DO,F,40.0
428,429,12,10,1977,1,DM,M,38.0
429,430,12,10,1977,9,PF,F,7.0
432,433,12,10,1977,9,DM,M,44.0
433,434,12,10,1977,13,PF,F,7.0
435,436,12,10,1977,18,DM,F,33.0
436,437,12,10,1977,18,DM,F,38.0
437,438,12,10,1977,2,DM,M,47.0
438,439,12,10,1977,20,DM,F,39.0
439,440,12,10,1977,1,PF,F,7.0
442,443,12,10,1977,13,DM,M,42.0
443,444,12,10,1977,6,DM,M,36.0
446,447,12,10,1977,18,DM,M,44.0
447,448,12,10,1977,20,DS,M,116.0
448,449,12,10,1977,2,DM,M,43.0
449,450,12,10,1977,1,DO,M,45.0
450,451,12,10,1977,9,DS,F,116.0
452,453,12,10,1977,9,DM,M,42.0
453,454,12,10,1977,1,DM,F,38.0
459,460,12,11,1977,12,DS,F,114.0
460,461,12,11,1977,14,DM,M,41.0
461,462,12,11,1977,17,DM,M,40.0
462,463,12,11,1977,4,DS,M,134.0
463,464,12,11,1977,5,DS,M,139.0
465,466,12,11,1977,4,DS,F,118.0
466,467,12,11,1977,8,DO,F,41.0
467,468,12,11,1977,11,DM,M,37.0
469,470,12,11,1977,4,PF,M,6.0
471,472,12,11,1977,11,DS,F,127.0
473,474,12,11,1977,8,PF,F,6.0
475,476,12,11,1977,8,DS,F,120.0
476,477,12,11,1977,17,DS,F,115.0
478,479,12,11,1977,14,DM,F,40.0
479,480,12,11,1977,14,DS,F,114.0
480,481,12,11,1977,17,DM,F,37.0
481,482,12,11,1977,17,DM,M,46.0
482,483,12,11,1977,8,DS,M,149.0
483,484,12,11,1977,11,DM,F,38.0
484,485,12,11,1977,11,DS,M,127.0
486,487,12,11,1977,12,DM,F,36.0
487,488,12,11,1977,12,DM,M,41.0
489,490,12,11,1977,14,DM,M,44.0
490,491,12,11,1977,11,DS,M,138.0
491,492,12,11,1977,12,DS,M,110.0
492,493,12,11,1977,4,DS,F,110.0
495,496,12,11,1977,17,DM,F,37.0
497,498,12,11,1977,3,PF,M,7.0
498,499,12,11,1977,11,DS,F,121.0
501,502,12,11,1977,5,DM,F,43.0
